,Brand,model,description,rating,no_of_reviews,price,category
106,NEVER QUIT,not applicable,Double Layer 2 in 1 Sports Shorts with Inner Tights for Men Gym Tight Short with Pocket,4.1,7,407,clothing
107,Lymio,not applicable,Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-01-04),3.9,918,649,clothing
108,Zexer,not applicable,Men Men Compression T-Shirt Gym and Sports Wear T-Shirt for Men | Body fit Skinny T-Shirt (Black,3.9,482,369,clothing
109,SELLORIA,not applicable,Brand Soft Cotton Adjustable Unisex Cap for Men and Women Freesize Baseball Caps (Pack of 2),3.5,120,199,clothing
110,U.S. POLO ASSN.,not applicable,Men's Panelled Comfort Fit I669 Lounge Track Pants - Pack of 1,4.0,"1,347","1,049",clothing
111,JUGULAR,not applicable,Men's Cotton Solid Men Stylish Cargo Black Track Pants,3.7,"7,337",479,clothing
112,Puma,not applicable,Men Regular Fit Tee,4.0,141,"1,259",clothing
113,EYEBOGLER,not applicable,Mens Dry Fit Round Neck Full Sleeve Casual Tshirt,3.3,290,219,clothing
114,Leriya Fashion,not applicable,Night Dress for Men || Rayon Multi Printed Night Dress for Women || Summer & Beach Wear for Men || Sleepwear Pajama Set for Men || Vacation || Travel Wear,3.6,87,479,clothing
115,Lux Cott's Wool,not applicable,Men's Cotton Thermal Set,4.0,"5,723",799,clothing
116,Lux Cott's Wool,not applicable,Lux Cottswool Men's Thermal Top and Lower Set,4.1,825,740,clothing
117,fanideaz,not applicable,Men’s Full Sleeve Cotton Stylish High Neck Bomber Jacket,3.8,17,799,clothing
118,Lymio,not applicable,Men Cord Set || T-Shirt and Shorts Set for Men || Men's Pyjama Set (SET-01-03),3.9,44,629,clothing
119,London Hills,not applicable,Men Polyester Full Sleeve Solid Standard Length Sports Jacket,4.2,88,419,clothing
120,Facto Power,not applicable,"Women's Lightly Removable Padded, Wire Free Tube Bra, for Running, Athletics, Excercise, Gym Beige",3.1,9,104,clothing
121,Ben Martin,not applicable,Men's Casual Stretchable Denim Tapered Fit Carrot Jeans_1,2.9,419,699,clothing
122,CHKOKKO,not applicable,Men Printed Gym Tank Tops Sports Sleeveless Vest,4.1,344,299,clothing
123,LEOTUDE,not applicable,Men's Cottonblend Oversized Half Sleeve Round Neck Regular Fit T-shirt,3.5,107,279,clothing
124,Lymio,not applicable,Casual Shirt for Men|| Regular Fit Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Crush-Lining),3.8,76,429,clothing
125,Generic,not applicable,Uptown Funk Men's Slim Fit Solid Full Elastic Sport Wear Running Gym Stretchable Jogger Track Pant,4.7,5,649,clothing
126,GRECIILOOKS,not applicable,Men Regular Fit Casual Shirt,3.8,133,399,clothing
127,DHRUVI TRENDZ,not applicable,Men Pajama Set,3.4,"1,019",479,clothing
128,Alan Jones Clothing,not applicable,Men's Cotton Colorblocked Sleeveless T-Shirt,4.3,55,329,clothing
129,ATICX,not applicable,"Men's Slim Fit Polyester Sleeveless T Shirt - Sando Top Tank Muscle Tee for Sports, Gym, Running",4.0,777,399,clothing
130,LEOTUDE,not applicable,"Men Half Sleeve Oversized Tshirt, Round Neck Longline Drop Shoulder | Colorful Printed Combo Regular Fit T-Shirt (Pack Of 3)",3.6,173,699,clothing
131,GRECIILOOKS,not applicable,Men Regular Fit Casual Shirt,3.8,217,479,clothing
132,Alan Jones Clothing,not applicable,Men's Cotton Hooded Neck Hoodies,4.0,"1,154",649,clothing
